,originalTitle,brTitle
6844,"Sting II, The (1983)",Golpe de Mestre II (1983)
6845,Human Resources (Ressources humaines) (1999),Recursos Humanos (1999)
6846,"Bill Cosby, Himself (1983)","Bill Cosby, Himself (1983)"
6847,Dead Ringer (1964),Alguém Morreu em Meu Lugar (1964)
6848,Anacondas: The Hunt for the Blood Orchid (2004),Anaconda 2: A Caçada pela Orquídea Selvagem (2004)
6849,Suspect Zero (2004),Suspeito Zero (2004)
6850,Warriors of Heaven and Earth (Tian di ying xiong) (2003),Guerreiros do Céu e da Terra (2003)
6851,Vanity Fair (2004),Feira das Vaidades (2004)
6852,Paparazzi (2004),Paparazzi (2004)
6853,Wicker Park (2004),Paixão à Flor da Pele (2004)
6854,Alice Doesn't Live Here Anymore (1974),Alice Não Mora Mais Aqui (1974)
6855,"Mangler, The (1995)","Mangler, o Grito de Terror (1995)"
6856,Who's That Knocking at My Door? (1967),Quem Bate à Minha Porta? (1967)
6857,Seeing Other People (2004),Pecado Consentido (2004)
6858,Camera Buff (Amator) (1979),Amador (1979)
6859,Highwaymen (2003),Velozes e Mortais (2003)
6860,Graffiti Bridge (1990),Graffiti Bridge (1990)
6861,"Vitelloni, I (a.k.a. The Young and the Passionate) (1953)",Os Boas-Vidas (1953)
6862,Under the Cherry Moon (1986),Sob o Luar da Primavera (1986)
6863,Flipper (1963),O Menino e o Delfim (1963)
6864,Smile (1975),Sorria (1975)
6865,Lord Jim (1965),Lord Jim (1965)
6866,Night of the Demons (1988),A Noite dos Demônios (1988)
6867,Witchboard (1986),Espírito Assassino (1986)
6868,SuperBabies: Baby Geniuses 2 (2004),Bebês Geniais 2: Super Bebês (2004)
6869,Cellular (2004),Celular: Um Grito de Socorro (2004)
6870,Resident Evil: Apocalypse (2004),Resident Evil 2: Apocalipse (2004)
6871,Criminal (2004),171 (2004)
6872,Mr. 3000 (2004),O Rei do Jogo (2004)
6873,Sky Captain and the World of Tomorrow (2004),Capitão Sky e o Mundo de Amanhã (2004)
6874,Wimbledon (2004),Wimbledon: O Jogo do Amor (2004)
6875,Anatomy of Hell (Anatomie de l'enfer) (2004),Anatomia do Inferno (2004)
6876,Head in the Clouds (2004),Três Vidas e um Destino (2004)
6877,First Daughter (2004),A Filha do Presidente (2004)
6878,"Forgotten, The (2004)",Os Esquecidos (2004)
6879,"Last Shot, The (2004)","Luzes, Câmera, Ação (2004)"
6880,"Dirty Shame, A (2004)",Clube dos Pervertidos (2004)
6881,"Motorcycle Diaries, The (Diarios de motocicleta) (2004)",Diários de Motocicleta (2004)
6882,Shaun of the Dead (2004),Todo Mundo Quase Morto (2004)
6883,"Come Back, Little Sheba (1952)",A Cruz da Minha Vida (1952)
6884,Murder on the Orient Express (1974),Assassinato no Expresso Oriente (1974)
6885,Mask (1985),Marcas do Destino (1985)
6886,"Boston Strangler, The (1968)",O Homem Que Odiava as Mulheres (1968)
6887,"Man with One Red Shoe, The (1985)",O Homem do Sapato Vermelho (1985)
6888,"Sentinel, The (1977)",A Sentinela dos Malditos (1977)
6889,SSSSSSS (1973),O Homem-Cobra (1973)
6890,Basket Case 3: The Progeny (1992),Basket Case 3: The Progeny (1992)
6891,Basket Case 2 (1990),Basket Case 2 - A Vingança (1990)
6892,Orca: The Killer Whale (1977),Orca: A Baleia Assassina (1977)
6893,"Robinson Crusoe (Adventures of Robinson Crusoe, The) (1954)",Robinson Crusoé (1954)
6894,Hardcore (1979),O Submundo do Sexo (1979)
6895,Watermelon Man (1970),A Noite em que o Sol Brilhou (1970)
6896,"Terror, The (1963)",Terror no Castelo Von Leppe (1963)
6897,1492: Conquest of Paradise (1992),1492: A Conquista do Paraíso (1992)
6898,Cannibal Holocaust (1980),Canibal Holocausto (1980)
6899,Shark Tale (2004),O Espanta Tubarões (2004)
6900,Ladder 49 (2004),Brigada 49 (2004)
6901,I Heart Huckabees (2004),Huckabees: A Vida é uma Comédia (2004)
6902,Raise Your Voice (2004),Na Trilha da Fama (2004)
6903,Taxi (2004),Táxi (2004)
6904,Around the Bend (2004),Segredos de Família (2004)
6905,Primer (2004),Primer (2004)
6906,Stage Beauty (2004),A Bela do Palco (2004)
6907,Shall We Dance? (2004),Dança Comigo? (2004)
6908,Team America: World Police (2004),Team America: Detonando o Mundo (2004)
6909,Eulogy (2004),Um Funeral Muito Louco (2004)
6910,P.S. (2004),Segunda Chance (2004)
6911,"Country Girl, The (1954)",Amar é Sofrer (1954)
6912,"Rose Tattoo, The (1955)",A Rosa Tatuada (1955)
6913,Epidemic (1988),Epidemia (1988)
6914,Tess (1979),Tess (1979)
6915,I Wanna Hold Your Hand (1978),Febre de Juventude (1978)
6916,Cannonball (1976),Cannonball - A Corrida do Século (1976)
6917,"Fearless Vampire Killers, The (1967)",A Dança dos Vampiros (1967)
6918,Black Beauty (1971),O Potro Negro (1971)
6919,"Five Obstructions, The (Fem benspænd, De) (2003)",As Cinco Obstruções (2003)
6920,Born Rich (2003),Born Rich (2003)
6921,It's Alive (1974),Nasce um Monstro (1974)
6922,"Decline of the American Empire, The (Déclin de l'empire américain, Le) (1986)",O Declínio do Império Americano (1986)
6923,Bebe's Kids (1992),Bebe's Kids (1992)
6924,All I Want for Christmas (1991),Um Pedido de Natal (1991)
6925,Friday Night Lights (2004),Tudo Pela Vitória (2004)
6926,Tarnation (2003),Tarnation (2003)
6927,"Final Cut, The (2004)",Violação de Privacidade (2004)
6928,Riding the Bullet (2004),Montado na Bala (2004)
6929,Being Julia (2004),Adorável Júlia (2004)
6930,Surviving Christmas (2004),Sobrevivendo ao Natal (2004)
6931,"Grudge, The (2004)",O Grito (2004)
6932,Alfie (2004),"Alfie, o Sedutor (2004)"
6933,Sideways (2004),Sideways: Entre Umas e Outras (2004)
6934,The Machinist (2004),O Operário (2004)
6935,Vera Drake (2004),O Segredo de Vera Drake (2004)
6936,Undertow (2004),Contra Corrente (2004)
6937,Enduring Love (2004),Amor Obsessivo (2004)
6938,Saw (2004),Jogos Mortais (2004)
6939,Ray (2004),Ray (2004)
6940,Birth (2004),Reencarnação (2004)
6941,"Incredibles, The (2004)",Os Incríveis (2004)
6942,It's All About Love (2003),Dogma do Amor (2003)
6943,"Polar Express, The (2004)",O Expresso Polar (2004)
6944,Kinsey (2004),Kinsey: Vamos Falar de Sexo (2004)
6945,Seed of Chucky (Child's Play 5) (2004),O Filho de Chucky (2004)
6946,After the Sunset (2004),Ladrão de Diamantes (2004)
6947,Bridget Jones: The Edge of Reason (2004),"Bridget Jones, no Limite da Razão (2004)"
6948,Finding Neverland (2004),Em Busca da Terra do Nunca (2004)
6949,Veer Zaara (2004),Veer Zaara (2004)
6950,National Treasure (2004),A Lenda do Tesouro Perdido (2004)
6951,Bad Education (La mala educación) (2004),Má Educação (2004)
6952,"SpongeBob SquarePants Movie, The (2004)",Bob Esponja: O Filme (2004)
6953,Alexander (2004),Alexandre (2004)
6954,Christmas with the Kranks (2004),"Um Natal Muito, Muito Louco (2004)"
6955,Guerrilla: The Taking of Patty Hearst (2004),Guerrilla: The Taking of Patty Hearst (2004)
6956,Our Music (Notre musique) (2004),Nossa Música (2004)
6957,Closer (2004),Closer: Perto Demais (2004)
6958,I Am David (2003),O Sonho da Liberdade (2003)
6959,House of Flying Daggers (Shi mian mai fu) (2004),O Clã das Adagas Voadoras (2004)
6960,Ocean's Twelve (2004),Doze Homens e Outro Segredo (2004)
6961,Blade: Trinity (2004),Blade: Trinity (2004)
6962,"Bellboy, The (1960)",Mensageiro Trapalhão (1960)
6963,Bush's Brain (2004),Bush's Brain (2004)
6964,Cinderfella (1960),Cinderelo sem Sapato (1960)
6965,Damn Yankees! (1958),O Parceiro de Satanás (1958)
6966,"Disorderly Orderly, The (1964)",O Bagunceiro Arrumadinho (1964)
6967,"Ladies Man, The (1961)",O Terror das Mulheres (1961)
6968,That's Entertainment (1974),Era uma Vez em Hollywood (1974)
6969,"That's Entertainment, Part II (1976)",Isto Também Era Hollywood (1976)
6970,That's Entertainment! III (1994),"Era Uma Vez Em Hollywood, Parte III (1994)"
6971,"Wackiest Ship in the Army, The (1960)",A escuna do diabo (1960)
6972,Alexander the Great (1956),"Alexandre, O Grande (1956)"
6973,D.A.R.Y.L. (1985),Daryl (1985)
6974,Fire in the Sky (1993),Fogo no Céu (1993)
6975,"Invisible Man Returns, The (1940)",A Volta do Homem Invisível (1940)
6976,Love Me If You Dare (Jeux d'enfants) (2003),Amor ou Consequência (2003)
6977,Portrait of Jennie (1948),O Retrato de Jennie (1948)
6978,Secret Honor (1984),A Honra Secreta (1984)
6979,Control Room (2004),Central Al Jazeera (2004)
6980,"Golem, The (Golem, wie er in die Welt kam, Der) (1920)",O Golem (1920)
6981,"Last of the Mohicans, The (1920)",O Último dos Moicanos (1920)
6982,"Phantom Carriage, The (Körkarlen) (1921)",A Carruagem Fantasma (1921)
6983,Haxan: Witchcraft Through the Ages (a.k.a. The Witches) (1922),Häxan - A Feitiçaria Através dos Tempos (1922)
6984,"Hunchback of Notre Dame, The (1923)",O Corcunda de Notre Dame (1923)
6985,Sherlock Jr. (1924),Bancando o Águia (1924)
6986,"Freshman, The (1925)",O Calouro (1925)
6987,Greed (1924),Ouro e Maldição (1924)
6988,"Phantom of the Opera, The (1925)",O Fantasma da Ópera (1925)
6989,"Jazz Singer, The (1927)",Cantor de Jazz (1927)
6990,October (1928),Outubro (1928)
6991,"Unknown, The (a.k.a. Alonzo the Armless) (1927)",O Monstro do Circo (1927)
6992,"Pandora's Box (Büchse der Pandora, Die) (1929)",A Caixa de Pandora (1929)
6993,"Cameraman, The (1928)",O Homem das Novidades (1928)
6994,"Crowd, The (1928)",A Turba (1928)
6995,"Man Who Laughs, The (1928)",O Homem que Ri (1928)
6996,"Steamboat Bill, Jr. (1928)","Capitão Bill, Jr. (1928)"
6997,"Andalusian Dog, An (Chien andalou, Un) (1929)",Um Cão Andaluz (1929)
6998,Little Caesar (1931),Alma no Lodo (1931)
6999,"Golden Age, The (Âge d'Or, L') (1930)",A Idade do Ouro (1930)
7000,Monkey Business (1931),Batutas Burlescos (1931)
7001,Boudu Saved From Drowning (Boudu sauvé des eaux) (1932),"Boudu, Salvo das Águas (1932)"
7002,"Old Dark House, The (1932)",A Casa Sinistra (1932)
7003,Scarface (1932),Scarface: A Vergonha de uma Nação (1932)
7004,Shanghai Express (1932),O Expresso de Shanghai (1932)
7005,"I Was Born, But... (a.k.a. Children of Tokyo) (Otona no miru ehon - Umarete wa mita keredo) (1932)",Meninos de Tóquio (1932)
7006,Vampyr (1932),O Vampiro (1932)
7007,Dinner at Eight (1933),Jantar às Oito (1933)
7008,Gold Diggers of 1933 (1933),Cavadoras de Ouro de 1933 (1933)
7009,Island of Lost Souls (1932),A Ilha das Almas Selvagens (1932)
7010,She Done Him Wrong (1933),Uma Loira para Três (1933)
7011,"Son of Kong, The (1933)",O Filho de King Kong (1933)
7012,"Atalante, L' (1934)",O Atalante (1934)
7013,"Black Cat, The (1934)",O Gato Preto (1934)
7014,"Informer, The (1935)",O Delator (1935)
7015,Fury (1936),Fúria (1936)
7016,Libeled Lady (1936),Casado com Minha Noiva (1936)
7017,Mr. Deeds Goes to Town (1936),O Galante Mr. Deeds (1936)
7018,"Petrified Forest, The (1936)",A Floresta Petrificada (1936)
7019,Camille (1936),A Dama das Camélias (1936)
7020,Captains Courageous (1937),Marujo Intrépido (1937)
7021,Dead End (1937),Beco sem Saída (1937)
7022,Nothing Sacred (1937),Nada é Sagrado (1937)
7023,"Prisoner of Zenda, The (1937)",O Prisioneiro de Zenda (1937)
7024,Stage Door (1937),No Teatro da Vida (1937)
7025,Topper (1937),A Dupla do Outro Mundo (1937)
7026,Holiday (1938),Boêmio Encantador (1938)
7027,Gaslight (1940),À Meia Luz (1940)
7028,"Roaring Twenties, The (1939)",Heróis Esquecidos (1939)
7029,Wuthering Heights (1939),O Morro dos Ventos Uivantes (1939)
7030,"Letter, The (1940)",A Carta (1940)
7031,"Sea Hawk, The (1940)",O Gavião do Mar (1940)
7032,Ball of Fire (1941),Bola de Fogo (1941)
7033,Here Comes Mr. Jordan (1941),Que Espere o Céu (1941)
7034,Random Harvest (1942),Na Noite do Passado (1942)
7035,Heaven Can Wait (1943),O Diabo Disse Não (1943)
7036,"Memphis Belle: A Story of a Flying Fortress, The (1944)",Memphis Belle: O Avião Inabalável (1944)
7037,Day of Wrath (Vredens dag) (1943),Dias de Ira (1943)
7038,Cover Girl (1944),Modelos (1944)
7039,"Curse of the Cat People, The (1944)",A Maldição do Sangue da Pantera (1944)
7040,"Henry V (Chronicle History of King Henry the Fift with His Battell Fought at Agincourt in France, The) (1944)",Henrique 5º (1944)
7041,Ministry of Fear (1944),Quando Desceram as Trevas (1944)
7042,"Miracle of Morgan's Creek, The (1944)",Papai por Acaso (1944)
7043,Mr. Skeffington (1944),Vaidosa (1944)
7044,"Woman in the Window, The (1944)",Um Retrato de Mulher (1944)
7045,"Ivan the Terrible, Part One (Ivan Groznyy I) (1944)","Ivan, O Terrível (1944)"
7046,They Were Expendable (1945),Fomos os Sacrificados (1945)
7047,"Tree Grows in Brooklyn, A (1945)",Laços Humanos (1945)
7048,"Blue Dahlia, The (1946)",A Dália Azul (1946)
7049,Great Expectations (1946),Grandes Esperanças (1946)
7050,"Stranger, The (1946)",O Estranho (1946)
7051,Nightmare Alley (1947),O Beco das Almas Perdidas (1947)
7052,Odd Man Out (1947),Condenado (1947)
7053,3 Godfathers (1948),O Céu Mandou Alguém (1948)
7054,Easter Parade (1948),Desfile de Páscoa (1948)
7055,Fort Apache (1948),Sangue de Heróis (1948)
7056,"Lady from Shanghai, The (1947)",A Dama de Shangai (1947)
7057,Letter from an Unknown Woman (1948),Carta de uma Desconhecida (1948)
7058,"Naked City, The (1948)",Cidade Nua (1948)
7059,They Live by Night (1949),Amarga Esperança (1949)
7060,"Three Musketeers, The (1948)",Os Três Mosqueteiros (1948)
7061,Unfaithfully Yours (1948),Odeio-te Meu Amor (1948)
7062,"Letter to Three Wives, A (1949)",Quem é o Infiel? (1949)
7063,Orpheus (Orphée) (1950),Orfeu (1950)
7064,Annie Get Your Gun (1950),Annie Get Your Gun (1950)
7065,"Gunfighter, The (1950)",O Matador (1950)
7066,King Solomon's Mines (1950),As Minas do Rei Salomão (1950)
7067,"Young and the Damned, The (Olvidados, Los) (1950)",Os Esquecidos (1950)
7068,Carrie (1952),Perdição por Amor (1952)
7069,"Life of Oharu, The (Saikaku ichidai onna) (1952)",A Vida de O'Haru (1952)
7070,Abbott and Costello Meet Dr. Jekyll and Mr. Hyde (1953),Abbott e Costello Enfrentando o Médico e o Monstro (1953)
7071,Magnificent Obsession (1954),Sublime Obsessão (1954)
7072,Samurai I: Musashi Miyamoto (Miyamoto Musashi) (1954),O Samurai Dominante 1: Musashi Miyamoto (1954)
7073,"Star Is Born, A (1954)",Nasce uma Estrela (1954)
7074,The Wild One (1953),O Selvagem (1953)
7075,Confidential Report (1955),Mr. Arkadin (1955)
7076,Night and Fog (Nuit et brouillard) (1955),Noite e Neblina (1955)
7077,Samurai II: Duel at Ichijoji Temple (Zoku Miyamoto Musashi: Ichijôji no kettô) (1955),O Samurai Dominante 2: Morte no templo Ichijoji (1955)
7078,"Unknown Soldier, The (Tuntematon sotilas) (1955)","Unknown Soldier, The (Tuntematon sotilas) (1955)"
7079,"Burmese Harp, The (Biruma no tategoto) (1956)",Não Deixarei os Mortos (A Harpa Birmana) (1956)
7080,Carousel (1956),Carrossel (1956)
7081,Samurai III: Duel on Ganryu Island (a.k.a. Bushido) (Miyamoto Musashi kanketsuhen: kettô Ganryûjima) (1956),O Samurai Dominante 3: Duelo na ilha Ganryu (1956)
7082,"Spirit of St. Louis, The (1957)",Águia Solitária (1957)
7083,Teacher's Pet (1958),Um Amor de Professora (1958)
7084,"Vikings, The (1958)","Vikings, os Conquistadores (1958)"
7085,"Human Condition II, The (Ningen no joken II) (1959)",Guerra e Humanidade: Estrada Para a Eternidade (1959)
7086,Fires on the Plain (Nobi) (1959),Fogo na Planície (1959)
7087,"Nun's Story, The (1959)",Uma Cruz à Beira do Abismo (1959)
7088,Pickpocket (1959),Pickpocket (1959)
7089,Floating Weeds (Ukigusa) (1959),Ervas Flutuantes (1959)
7090,"Bad Sleep Well, The (Warui yatsu hodo yoku nemuru) (1960)",Homem Mau Dorme Bem (1960)
7091,"Human Condition III, The (Ningen no joken III) (1961)",Guerra e Humanidade: Uma Prece de Soldado (1961)
7092,Advise and Consent (1962),Tempestade Sobre Washington (1962)
7093,Harakiri (Seppuku) (1962),Harakiri (1962)
7094,"Loneliness of the Long Distance Runner, The (1962)",A Solidão do Corredor de Fundo (1962)
7095,"Music Man, The (1962)",Vendedor de Ilusões (1962)
7096,Mutiny on the Bounty (1962),O Grande Motim (1962)
7097,"Easy Life, The (Il Sorpasso) (1962)",Aquele Que Sabe Viver (1962)
7098,"Eclisse, L' (Eclipse) (1962)",O Eclipse (1962)
7099,McLintock! (1963),McLintock! (1963)
7100,Becket (1964),Becket (1964)
7101,"Best Man, The (1964)",Vassalos da Ambição (1964)
7102,"Hush... Hush, Sweet Charlotte (1964)",Com a Maldade na Alma (1964)
7103,"Killers, The (1964)",Os Assassinos (1964)
7104,"Naked Kiss, The (1964)",O Beijo Amargo (1964)
7105,Onibaba (1964),Onibaba - A Mulher Demônio (1964)
7106,Robin and the 7 Hoods (1964),Robin Hood de Chicago (1964)
7107,Robinson Crusoe on Mars (1964),Robinson Crusoé em Marte (1964)
7108,"Spider Baby or, The Maddest Story Ever Told (Spider Baby) (1968)",Spider Baby (1968)
7109,"Battle of Algiers, The (La battaglia di Algeri) (1966)",A Batalha de Argel (1966)
7110,"Charlie Brown Christmas, A (1965)",O Natal do Charlie Brown (1965)
7111,Dracula: Prince of Darkness (1966),"Drácula, o Príncipe das Trevas (1966)"
7112,"Hill, The (1965)",A Colina dos Homens Perdidos (1965)
7113,In Harm's Way (1965),A Primeira Vitória (1965)
7114,"Thousand Clowns, A (1965)",Mil Palhaços (1965)
7115,"Train, The (1964)",O Trem (1964)
7116,Andrei Rublev (Andrey Rublyov) (1969),Andrei Rublev. O Artista Maldito (1969)
7117,Au Hasard Balthazar (1966),A Grande Testemunha (1966)
7118,Batman (1966),"Batman, o Homem Morcego (1966)"
7119,Grand Prix (1966),Grand Prix (1966)
7120,Khartoum (1966),Khartoum (1966)
7121,Manos: The Hands of Fate (1966),Manos: As Mãos do Destino (1966)
7122,Closely Watched Trains (Ostre sledované vlaky) (1966),Trens Estreitamente Vigiados (1966)
7123,Tokyo Drifter (Tôkyô nagaremono) (1966),Tóquio Violenta (1966)
7124,Asterix and the Gauls (Astérix le Gaulois) (1967),"Asterix, o Gaulês (1967)"
7125,Don't Look Back (1967),A Caminho do Leste (1967)
7126,Fando and Lis (Fando y Lis) (1968),Fando e Lis (1968)
7127,Branded to Kill (Koroshi no rakuin) (1967),A Marca do Assassino (1967)
7128,"Bride Wore Black, The (La mariée était en noir) (1968)",A Noiva Estava de Preto (1968)
7129,Play Time (a.k.a. Playtime) (1967),Playtime - Tempo de Diversão (1967)
7130,Point Blank (1967),À Queima-Roupa (1967)
7131,The Shooting (1966),O Tiro Certo (1966)
7132,Titicut Follies (1967),Titicut Follies (1967)
7133,Two for the Road (1967),Um Caminho para Dois (1967)
7134,"War Wagon, The (1967)",Gigantes em Luta (1967)
7135,Asterix and Cleopatra (Astérix et Cléopâtre) (1968),Asterix e Cleópatra (1968)
7136,"Diamond Arm, The (Brilliantovaya ruka) (1968)",Braço de Diamante (1968)
7137,Head (1968),Os Monkees Estão de Volta (1968)
7138,"I Love You, Alice B. Toklas! (1968)",O Abilolado Endoidou (1968)
7139,"Yours, Mine and Ours (1968)","Os Seus, os Meus, os Nossos (1968)"
7140,Alice's Restaurant (1969),Deixem-nos Viver (1969)
7141,Colossus: The Forbin Project (1970),Colossus 1980 (1970)
7142,Death Rides a Horse (Da uomo a uomo) (1967),A Morte Anda a Cavalo (1967)
7143,My Night At Maud's (Ma Nuit Chez Maud) (1969),Minha Noite Com Ela (1969)
7144,Brewster McCloud (1970),Voar é com os Pássaros (1970)
7145,Dodes'ka-den (Clickety-Clack) (1970),Dodeskaden - O Caminho da Vida (1970)
7146,"Claire's Knee (Genou de Claire, Le) (1970)",O Joelho de Claire (1970)
7147,"Hi, Mom! (1970)","Olá, Mamãe! (1970)"
7148,"Swedish Love Story, A (Kärlekshistoria, En) (1970)",Uma História De Amor Sueca (1970)
7149,On a Clear Day You Can See Forever (1970),Num Dia Claro de Verão (1970)
7150,Performance (1970),Performance (1970)
7151,"White Sun of the Desert, The (Beloe solntse pustyni) (1970)",O Sol Branco do Deserto (1970)
7152,Zabriskie Point (1970),Zabriskie Point (1970)
